Data,Round,Civility,Player1 (Player1 / Player2),Player2 (Player3 / Player4),Sets,Tournment,Clay,1st SERVE % P1,1st SERVE % P2,1st SERVE POINTS WON P1,1st SERVE POINTS WON P2,2nd SERVE POINTS WON P1,2nd SERVE POINTS WON P2,BREAK POINTS WON P1,BREAK POINTS WON P2,TOTAL RETURN POINTS WON P1,TOTAL RETURN POINTS WON P2,TOTAL POINTS WON P1,TOTAL POINTS WON P2,DOUBLE FAULTS P1,DOUBLE FAULTS P2,ACES P1,ACES P2,Country P1,Birthday P1,Height P1,Weight P1,Profi since P1,Play P1,Ranking's position P1,Points P1,Prize money P1,Country P2,Birthday P2,Height P2,Weight P2,Profi since P2,Play P2,Ranking's position P2,Points P2,Prize money P2,Country P3,Birthday P3,Height P3,Weight P3,Profi since P3,Play P3,Ranking's position P3,Points P3,Prize money P3,Country P4,Birthday P4,Height P4,Weight P4,Profi since P4,Play P4,Ranking's position P4,Points P4,Prize money P4
01.01.70,1st round,female,Miyu Kato,Tamachan Momkoonthod,"6-0, 6-3",Bangkok,Hard,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Japan,"21.11.94, 20 years",-,-,-,-,369,92,-,Thailand,"14.04.97, 18 years",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
01.01.70,q 1,female,Michika Ozeki,Bunyawi Thamchaiwat,"6-1, 4-6, 6-2",Bangkok,Hard,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Japan,"17.03.92, 23 years",-,-,-,-,598,34,-,Thailand,"29.07.98, 16 years",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
01.01.70,1st round,female,Nao Hibino,Olga Fridman,3-1 retired Olga Fridman,Bangkok,Hard,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Japan,"28.11.94, 20 years",-,-,-,-,163,322,-,Ukraine,"30.09.98, 16 years",-,-,-,-,531,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
01.01.70,1st round,female,Chompoothip Jandakate/Chanikarn Silakul,Julaluck Sae-Eung/Dan Ni Wang,"7-61, 7-5",Bangkok,Hard,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Thailand,"03.11.95, 19 years",-,-,-,-,-,-,-,Thailand,"05.08.95, 19 years",-,-,-,-,-,-,-,Thailand,"27.01.95, 20 years",-,-,-,-,-,-,-,China,"12.06.93, 21 years",-,-,-,-,-,-,-
01.01.70,qual.,female,Natasha Palha,Patcharin Cheapchadej,"6-2, 2-6, 7-63",Bangkok,Hard,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,India,"17.01.94, 21 years",-,-,-,-,587,36,-,Thailand,"13.12.94, 20 years",-,-,-,-,816,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
01.01.70,q 1,female,Isabelle Wallace,Guntisa Boonlaing,"6-1, 6-0",Bangkok,Hard,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,United Kingdom,"07.09.96, 18 years",-,-,-,-,648,30,-,Thailand,"22.08.91, 23 years",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
03.06.15,2nd round,female,Michelle Larcher De Brito,Alison Bai,"6-2, 6-3",Eastbourne,Grass,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Portugal,"29.01.93, 22 years",165 cm,45 kg,-,Right-handed,126,434,-,Australia,"18.01.90, 25 years",-,-,-,-,356,96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
01.06.15,1st round,female,Tara Moore,Maria Sanchez,"3-6, 7-67, 6-0",Eastbourne,Grass,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,United Kingdom,"06.08.92, 22 years",-,-,-,-,401,79,-,USA,"26.11.89, 25 years",-,-,-,-,192,275,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
01.06.15,1st round,female,Petra Martic,Elitsa Kostova,"1-6, 6-1, 7-67",Eastbourne,Grass,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Croatia,"19.01.91, 24 years",-,-,-,-,158,330,1.413.278 $,Bulgaria,"10.04.90, 25 years",-,-,-,-,177,292,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
01.01.70,1st round,female,Luksika Kumkhum,Nina Stojanovic,"6-4, 6-3",Bangkok,Hard,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Thailand,"21.07.93, 21 years",-,-,-,-,141,392,-,Serbia,"30.07.96, 18 years",-,-,-,-,292,140,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
01.01.70,1st round,female,Ankita Raina/Zuzana Zlochova,Yuqi Sheng/Ling Zhang,"6-2, 7-64",Bangkok,Hard,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,India,"11.01.93, 22 years",-,-,-,-,-,-,-,Slovakia,"24.01.90, 25 years",-,-,-,-,-,-,-,China,"03.01.96, 19 years",-,-,-,-,-,-,-,Hongkong,"28.10.89, 25 years",178 cm,75 kg,-,Right-handed,-,-,-
01.01.70,1/4,female,Varatchaya Wongteanchai,Nao Hibino,"6-4, 6-4",Bangkok,Hard,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Thailand,"07.09.89, 25 years",-,-,-,-,204,255,-,Japan,"28.11.94, 20 years",-,-,-,-,163,322,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
01.01.70,q 1,female,Varunya Wongteanchai,Dan Ni Wang,"6-1, 6-3",Bangkok,Hard,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Thailand,"07.01.93, 22 years",-,-,-,-,815,16,-,China,"12.06.93, 21 years",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
01.06.15,1st round,male,Keisuke Watanuki,Keita Koyama,"6-1, 6-1",Japan F5,Clay,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Japan,"19.11.93, 21 years",-,-,-,-,-,-,2.615 $,Japan,"06.08.86, 28 years",-,-,-,-,896,16,6.234 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
01.06.15,1st round,male,Konosuke Kiryu,Keisuke Numajiri,"1-6, 7-66, 6-3",Japan F5,Clay,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Japan,"11.12.95, 19 years",-,-,-,-,-,-,320 $,Japan,"25.09.95, 19 years",-,-,-,-,-,-,1.568 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
03.06.15,2nd round,male,Yuichi Ito,Yuichiro Inui,"6-3, 6-3",Japan F5,Clay,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Japan,"06.08.86, 28 years",182 cm,72 kg,-,Right-handed,705,33,86.472 $,Japan,"02.04.95, 20 years",-,-,-,-,-,-,172 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
01.06.15,1st round,female,Nina Zander,Stephanie Foretz,"7-67, 6-3",Eastbourne,Grass,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Germany,"26.01.90, 25 years",-,-,-,-,316,119,-,France,"03.05.81, 34 years",166 cm,60 kg,-,Right-handed,194,269,1.758.372 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
01.01.70,1st round,female,Su Jeong Jang/Sabina Sharipova,Chutharat Rungtein/Napatsakorn Sankaew,"6-1, 6-0",Bangkok,Hard,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Republic of Korea,"13.03.95, 20 years",-,-,-,-,-,-,-,Uzbekistan,"04.09.94, 20 years",-,-,-,-,-,-,-,Thailand,"13.01.91, 24 years",-,-,-,-,-,-,-,Thailand,"14.08.93, 21 years",-,-,-,-,-,-,-
01.06.15,1st round,female,Shuko Aoyama,Zhaoxuan Yang,"2-6, 6-2, 6-3",Eastbourne,Grass,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Japan,"19.12.87, 27 years",-,-,-,-,218,226,-,China,"11.02.95, 20 years",-,-,-,-,184,282,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
01.01.70,q 1,female,Natasha Palha,Thanyarat Karnjanapong,"6-0, 6-0",Bangkok,Hard,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,India,"17.01.94, 21 years",-,-,-,-,587,36,-,Thailand,"10.01.92, 23 years",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
02.06.15,1st round,male,Elmar Ejupovic,Darko Jandric,"6-4, 6-1",Bosnia &,Clay,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Bosnia and Herzeg.,"01.02.93, 22 years",-,-,-,-,861,19,4.034 $,Serbia,"02.09.94, 20 years",-,-,-,-,-,-,4.585 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
02.06.15,1st round,male,Tudor Sulea,Ivan Sabanov,"1-6, 6-0, 6-4",Bosnia &,Clay,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Romania,"24.04.94, 21 years",-,-,-,-,-,-,6.052 $,Croatia,"25.06.92, 22 years",-,-,-,-,-,-,11.912 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
02.06.15,1st round,male,Akihiro Tanaka,Sho Katayama,"6-4, 0-6, 6-2",Japan F5,Clay,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Japan,"02.01.96, 19 years",-,-,-,-,-,-,208 $,Japan,"12.05.89, 26 years",-,-,-,-,895,16,21.806 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
03.06.15,1st round,male,Danail Tarpov,Borut Puc,"4-6, 6-3, 6-2",Bosnia &,Clay,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Bulgaria,"24.11.88, 26 years",-,-,-,-,-,-,4.898 $,Slovenia,"19.01.91, 24 years",-,-,-,-,500,64,28.426 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
03.06.15,2nd round,male,Keisuke Watanuki,Ryotaro Matsumura,"2-6, 6-4, 6-0",Japan F5,Clay,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Japan,"19.11.93, 21 years",-,-,-,-,-,-,2.615 $,Japan,"24.09.96, 18 years",-,-,-,-,-,-,2.082 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
01.01.70,q 1,female,Harriet Dart,Chutisukant Pradidpol,"6-0, 6-0",Bangkok,Hard,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,United Kingdom,"28.07.96, 18 years",-,-,-,-,392,83,-,Thailand,"23.01.98, 17 years",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
03.06.15,2nd round,female,Julia Terziyska,Chanel Simmonds,"6-1, 6-2",Andijan,Hard,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Bulgaria,"05.03.96, 19 years",-,-,-,-,431,69,-,JAR,"10.08.92, 22 years",-,-,-,-,312,122,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
02.06.15,1st round,female,Natasha Palha,Nidhi Chilumula,"6-1, 6-3",Andijan,Hard,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,India,"17.01.94, 21 years",-,-,-,-,587,36,-,India,"09.10.94, 20 years",-,-,-,-,670,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
03.06.15,2nd round,female,Barbora Stefkova,Natasha Palha,"6-2, 6-4",Andijan,Hard,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Czech Republic,"04.04.95, 20 years",-,-,-,-,330,109,-,India,"17.01.94, 21 years",-,-,-,-,587,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
02.06.15,1st round,male,Ben Mclachlan,Katsuki Nagao,"6-1, 6-2",Japan F5,Clay,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,New Zeland,"10.05.92, 23 years",-,-,-,-,747,29,7.090 $,Japan,"14.04.89, 26 years",-,-,-,-,894,15,6.253 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
02.06.15,1st round,female,Anna Morgina,Albina Khabibulina,"3-6, 6-4, 6-1",Andijan,Hard,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Russia,"21.08.91, 23 years",-,-,-,-,366,94,-,Uzbekistan,"11.05.92, 23 years",-,-,-,-,714,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
02.06.15,1st round,male,Makoto Ochi,Arata Onozawa,"3-6, 6-2, 6-4",Japan F5,Clay,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Japan,"03.05.96, 19 years",-,-,-,-,-,-,-,Japan,"28.04.88, 27 years",-,-,-,-,622,44,59.717 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
01.01.70,1st round,female,Erika Sema,Michika Ozeki,"6-1, 6-4",Bangkok,Hard,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Japan,"24.11.88, 26 years",-,-,-,-,358,95,-,Japan,"17.03.92, 23 years",-,-,-,-,598,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30.05.15,3rd round,female,Sloane Stephens,Tsvetana Pironkova,"6-4, 6-1",Paris,Clay,34/49 (69%),26/59 (44%),19/34 (56%),11/26 (42%),8/15 (53%),10/33 (30%),7/11 (64%),3/5 (60%),38/59 (64%),22/49 (45%),65/108 (60%),43/108 (40%),2,1,1,1,USA,"20.03.93, 22 years",-,-,-,-,40,1250,2.863.181 $,Bulgaria,"13.09.87, 27 years",180 cm,65 kg,-,Right-handed,49,1007,3.194.564 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27.05.15,2nd round,female,Samantha Stosur,Amandine Hesse,"6-0, 6-1",Paris,Clay,31/44 (70%),16/37 (43%),24/31 (77%),7/16 (44%),8/13 (62%),7/21 (33%),5/8 (63%),0/6 (0%),23/37 (62%),12/44 (27%),55/81 (68%),26/81 (32%),2,3,3,2,Australia,"30.03.84, 31 years",172 cm,65 kg,-,Right-handed,22,2010,14.104.099 $,France,"16.01.93, 22 years",-,-,-,-,272,158,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25.05.15,1st round,female,Lucie Hradecka,Saisai Zheng,"6-3, 6-0",Paris,Clay,23/43 (53%),32/46 (70%),21/23 (91%),16/32 (50%),11/20 (55%),6/14 (43%),-,-,24/46 (52%),11/43 (26%),56/89 (63%),33/89 (37%),2,1,4,0,Czech Republic,"21.05.85, 30 years",176 cm,65 kg,-,Right-handed,61,896,3.240.884 $,China,"05.02.94, 21 years",-,-,-,-,62,884,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22.05.15,qual.,female,Dinah Pfizenmaier,Vera Dushevina,"0-6, 6-3, 6-1",Paris,Clay,42/63 (67%),42/73 (58%),27/42 (64%),23/42 (55%),9/21 (43%),15/31 (48%),5/8 (63%),4/7 (57%),35/73 (48%),27/63 (43%),71/136 (52%),65/136 (48%),5,1,4,0,Germany,"13.01.92, 23 years",-,-,-,-,145,367,-,Russia,"06.10.86, 28 years",180 cm,73 kg,2003,Right-handed,706,22,3.081.132 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30.05.15,2nd round,female,Yung-Jan Chan/Jie Zheng,Annika Beck/Shahar Peer,"6-3, 6-2",Paris,Clay,41/50 (82%),39/53 (74%),22/41 (54%),15/39 (38%),4/9 (44%),2/14 (14%),8/10 (80%),4/7 (57%),36/53 (68%),24/50 (48%),62/103 (60%),41/103 (40%),0,3,0,1,Taipei (CHN),"17.08.89, 25 years",-,-,-,-,-,-,-,China,"05.07.83, 31 years",164 cm,57 kg,2003,-,-,-,-,Germany,"16.02.94, 21 years",-,-,-,-,-,-,-,Izrael,"01.05.87, 28 years",170 cm,60 kg,2004,Right-handed,-,-,-
22.05.15,qual.,female,Margarita Gasparyan,Maryna Zanevska,"6-3, 6-75, 6-4",Paris,Clay,77/118 (65%),53/94 (56%),52/77 (68%),33/53 (62%),19/41 (46%),19/41 (46%),6/11 (55%),4/11 (36%),42/94 (45%),47/118 (40%),113/212 (53%),99/212 (47%),5,4,2,2,Russia,"01.09.94, 20 years",-,-,-,-,116,476,-,Ukraine,"24.08.93, 21 years",-,-,-,-,140,396,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26.05.15,1st round,female,Julia Goerges,Coco Vandeweghe,"6-2, 5-7, 6-1",Paris,Clay,56/94 (60%),48/74 (65%),44/56 (79%),32/48 (67%),18/38 (47%),15/26 (58%),4/11 (36%),1/5 (20%),27/74 (36%),32/94 (34%),89/168 (53%),79/168 (47%),2,2,6,5,Germany,"02.11.88, 26 years",178 cm,66 kg,-,Right-handed,72,792,3.403.056 $,USA,"06.12.91, 23 years",-,-,-,-,33,1368,1.190.376 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29.05.15,2nd round,female,Karin Knapp/Roberta Vinci,Anna-Lena Groenefeld/Alexandra Panova,"6-4, 3-6, 6-0",Paris,Clay,49/75 (65%),79/106 (75%),37/49 (76%),44/79 (56%),13/26 (50%),13/27 (48%),5/15 (33%),2/5 (40%),49/106 (46%),25/75 (33%),99/181 (55%),82/181 (45%),0,1,1,5,Italy,"28.06.87, 27 years",180 cm,72 kg,2002,Right-handed,-,-,-,Italy,"18.02.83, 32 years",163 cm,60 kg,1999,Right-handed,-,-,-,Germany,"04.06.85, 30 years",180 cm,67 kg,2003,Right-handed,-,-,-,Russia,"02.03.89, 26 years",-,-,-,-,-,-,-
27.05.15,1st round,female,Varvara Lepchenko/Saisai Zheng,Christina McHale/Kurumi Nara,"7-64, 7-5",Paris,Clay,51/77 (66%),67/98 (68%),33/51 (65%),42/67 (63%),14/26 (54%),13/31 (42%),4/12 (33%),3/5 (60%),43/98 (44%),30/77 (39%),90/175 (51%),85/175 (49%),3,3,0,1,USA,"21.05.86, 29 years",180 cm,72 kg,-,Left-handed,-,-,-,China,"05.02.94, 21 years",-,-,-,-,-,-,-,USA,"11.05.92, 23 years",-,-,-,-,-,-,-,Japan,"30.12.91, 23 years",-,-,-,-,-,-,-
30.05.15,3rd round,female,Serena Williams,Victoria Azarenka,"3-6, 6-4, 6-2",Paris,Clay,43/76 (57%),62/91 (68%),27/43 (63%),36/62 (58%),18/33 (55%),12/29 (41%),6/13 (46%),4/9 (44%),43/91 (47%),31/76 (41%),88/167 (53%),79/167 (47%),6,1,10,3,USA,"26.09.81, 33 years",175 cm,61 kg,1995,Right-handed,1,9361,63.500.779 $,Belarus,"31.07.89, 25 years",-,-,-,-,27,1733,24.223.706 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28.05.15,1st round,female,Silvia Soler-Espinosa/Maria-Teresa Torro-Flor,Garbine Muguruza/Carla Suarez Navarro,"6-0, 6-4",Paris,Clay,37/59 (63%),33/53 (62%),26/37 (70%),16/33 (48%),11/22 (50%),8/20 (40%),5/9 (56%),1/7 (14%),29/53 (55%),22/59 (37%),66/112 (59%),46/112 (41%),0,3,2,1,Spain,"19.11.87, 27 years",-,-,-,-,-,-,-,Spain,"02.05.92, 23 years",-,-,-,-,-,-,-,Spain,"08.10.93, 21 years",-,-,-,-,-,-,-,Spain,"03.09.88, 26 years",-,-,-,-,-,-,-
27.05.15,1st round,female,Lara Arruabarrena/Irina-Camelia Begu,Manon Arcangioli/Chloe Paquet,"6-2, 6-0",Paris,Clay,35/48 (73%),27/44 (61%),24/35 (69%),13/27 (48%),6/13 (46%),3/17 (18%),6/7 (86%),1/6 (17%),28/44 (64%),18/48 (38%),58/92 (63%),34/92 (37%),4,2,2,0,Spain,"20.03.92, 23 years",-,-,-,-,-,-,-,Romania,"26.08.90, 24 years",-,-,-,-,-,-,-,France,"28.08.94, 20 years",-,-,-,-,-,-,-,France,"01.07.94, 20 years",-,-,-,-,-,-,-
01.06.15,4th round,female,Garbine Muguruza,Flavia Pennetta,"6-3, 6-4",Paris,Clay,33/68 (49%),34/56 (61%),20/33 (61%),24/34 (71%),21/35 (60%),6/22 (27%),4/7 (57%),2/5 (40%),26/56 (46%),27/68 (40%),67/124 (54%),57/124 (46%),2,3,0,1,Spain,"08.10.93, 21 years",-,-,-,-,20,2075,1.681.469 $,Italy,"25.02.82, 33 years",172 cm,58 kg,2000,Right-handed,28,1731,9.791.881 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28.05.15,2nd round,female,Sloane Stephens,Heather Watson,"6-2, 6-4",Paris,Clay,32/50 (64%),34/56 (61%),20/32 (63%),15/34 (44%),12/18 (67%),11/22 (50%),5/11 (45%),2/6 (33%),30/56 (54%),18/50 (36%),62/106 (58%),44/106 (42%),1,2,,,USA,"20.03.93, 22 years",-,-,-,-,40,1250,2.863.181 $,United Kingdom,"19.05.92, 23 years",-,-,-,-,45,1109,1.209.089 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26.05.15,1st round,female,Irina Falconi,Manon Arcangioli,"6-2, 6-0",Paris,Clay,23/38 (61%),22/35 (63%),19/23 (83%),5/22 (23%),8/15 (53%),4/13 (31%),6/6 (100%),1/1 (100%),26/35 (74%),11/38 (29%),53/73 (73%),20/73 (27%),2,2,1,0,USA,"04.05.90, 25 years",-,-,-,-,85,685,-,France,"28.08.94, 20 years",-,-,-,-,276,155,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20.05.15,q 1,female,Yafan Wang,Richel Hogenkamp,"2-6, 7-67, 8-6",Paris,Clay,81/119 (68%),86/129 (67%),55/81 (68%),52/86 (60%),14/38 (37%),21/43 (49%),5/16 (31%),6/10 (60%),56/129 (43%),50/119 (42%),125/248 (50%),123/248 (50%),4,5,2,1,China,"30.04.94, 21 years",-,-,-,-,135,407,-,Holland,"16.04.92, 23 years",-,-,-,-,123,453,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20.05.15,q 1,female,Yung-Jan Chan,Urszula Radwanska,"6-3, 6-4",Paris,Clay,41/50 (82%),40/61 (66%),23/41 (56%),21/40 (53%),4/9 (44%),9/21 (43%),6/10 (60%),3/4 (75%),31/61 (51%),23/50 (46%),58/111 (52%),53/111 (48%),3,1,,,Taipei (CHN),"17.08.89, 25 years",-,-,-,-,230,201,2.271.231 $,Poland,"07.12.90, 24 years",173 cm,55 kg,-,Right-handed,109,538,1.574.058 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22.05.15,qual.,female,Olivia Rogowska,Beatriz Haddad Maia,"3-6, 7-65, 6-3",Paris,Clay,72/103 (70%),73/120 (61%),39/72 (54%),47/73 (64%),18/31 (58%),21/47 (45%),6/14 (43%),5/11 (45%),52/120 (43%),46/103 (45%),109/223 (49%),114/223 (51%),4,3,9,4,Australia,"07.06.91, 24 years",-,-,-,-,200,261,-,Brazil,"30.05.96, 19 years",-,-,-,-,166,314,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25.05.15,1st round,female,Carla Suarez Navarro,Monica Niculescu,"6-2, 6-2",Paris,Clay,42/55 (76%),47/61 (77%),28/42 (67%),23/47 (49%),7/13 (54%),6/14 (43%),5/12 (42%),1/6 (17%),32/61 (52%),20/55 (36%),67/116 (58%),49/116 (42%),2,5,,,Spain,"03.09.88, 26 years",-,-,-,-,8,3645,4.253.228 $,Romania,"25.09.87, 27 years",168 cm,63 kg,-,Right-handed,67,838,2.921.323 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27.05.15,2nd round,female,Mirjana Lucic-Baroni,Simona Halep,"7-5, 6-1",Paris,Clay,25/51 (49%),35/56 (63%),20/25 (80%),18/35 (51%),14/26 (54%),9/21 (43%),5/8 (63%),2/2 (100%),29/56 (52%),17/51 (33%),63/107 (59%),44/107 (41%),1,2,4,0,Croatia,"09.03.82, 33 years",-,-,-,-,70,819,2.096.669 $,Romania,"27.09.91, 23 years",169 cm,57 kg,-,Right-handed,3,7360,6.559.408 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25.05.15,1st round,female,Angelique Kerber,Timea Babos,"6-0, 6-1",Paris,Clay,24/34 (71%),29/51 (57%),19/24 (79%),10/29 (34%),6/10 (60%),9/22 (41%),6/7 (86%),0/1 (0%),32/51 (63%),9/34 (26%),57/85 (67%),28/85 (33%),2,2,,,Germany,"18.01.88, 27 years",173 cm,68 kg,-,Left-handed,11,3230,7.287.122 $,Hungary,"10.05.93, 22 years",-,-,-,-,81,693,1.019.401 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21.05.15,q 2,female,Johanna Konta,Elizaveta Kulichkova,"7-61, 6-3",Paris,Clay,41/64 (64%),48/87 (55%),33/41 (80%),28/48 (58%),12/23 (52%),18/39 (46%),3/9 (33%),2/8 (25%),41/87 (47%),19/64 (30%),86/151 (57%),65/151 (43%),1,2,6,0,United Kingdom,"17.05.91, 24 years",-,-,-,-,143,376,-,Russia,"12.04.96, 19 years",-,-,-,-,112,523,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25.05.15,1st round,female,Alexandra Dulgheru,Nicole Gibbs,"6-3, 6-1",Paris,Clay,45/65 (69%),27/46 (59%),29/45 (64%),14/27 (52%),10/20 (50%),6/19 (32%),5/9 (56%),1/9 (11%),26/46 (57%),26/65 (40%),65/111 (59%),46/111 (41%),4,2,1,0,Romania,"30.05.89, 26 years",-,-,-,-,51,1002,1.467.527 $,USA,"03.03.93, 22 years",-,-,-,-,98,620,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25.05.15,1st round,female,Vitalia Diatchenko,Stefanie Voegele,"4-6, 6-3, 6-2",Paris,Clay,69/105 (66%),50/82 (61%),43/69 (62%),30/50 (60%),17/36 (47%),13/32 (41%),6/13 (46%),4/13 (31%),39/82 (48%),45/105 (43%),99/187 (53%),88/187 (47%),4,2,3,3,Russia,"02.08.90, 24 years",-,-,-,-,91,657,-,Switzerland,"10.03.90, 25 years",-,-,-,-,96,638,1.328.186 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28.05.15,1st round,female,Yung-Jan Chan/Jie Zheng,Gabriela Dabrowski/Alicja Rosolska,"6-4, 6-1",Paris,Clay,29/40 (73%),45/61 (74%),21/29 (72%),22/45 (49%),9/11 (82%),7/16 (44%),5/12 (42%),1/1 (100%),32/61 (52%),10/40 (25%),62/101 (61%),39/101 (39%),0,3,,,Taipei (CHN),"17.08.89, 25 years",-,-,-,-,-,-,-,China,"05.07.83, 31 years",164 cm,57 kg,2003,-,-,-,-,Canada,"01.04.92, 23 years",-,-,-,-,-,-,-,Poland,"01.12.85, 29 years",-,-,-,-,-,-,-
25.05.15,1st round,female,Heather Watson,Mathilde Johansson,"6-4, 7-5",Paris,Clay,47/71 (66%),30/61 (49%),28/47 (60%),19/30 (63%),10/24 (42%),8/31 (26%),7/9 (78%),5/8 (63%),34/61 (56%),33/71 (46%),72/132 (55%),60/132 (45%),2,4,2,3,United Kingdom,"19.05.92, 23 years",-,-,-,-,45,1109,1.209.089 $,France,"28.04.85, 30 years",173 cm,56 kg,-,Right-handed,228,209,1.340.510 $,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
